"mention","frequency"
"johnfugelsang",10
"johnhuntsman",1
"johnkerry",1
"johnkingcnn",2
"johnlegend",2
"johnleho",1
"johnroderick",2
"johnschroyer",1
"johntabin",1
"johnwillyams",2
"jomoditty",1
"jon_huntsmanusa",3
"jon*huntsman's",1
"jon2012girls",12
"jon2012hq",11
"jonahsprotege",1
"jonathanalter",1
"jonathanbandy",1
"jonathanchad",1
"jonathancoley",1
"jonathanmpaul",1
"jonfugelsang",1
"jonhuntsman",163
"jonhuntsman!",1
"jonhuntsman?",1
"jonhuntsman's",1
"jonhuntsman)",2
"jonhuntsman12",9
"jonlovett",1
"jonmarrero",1
"jonragel",1
"jonswaine",3
"jonvictorino",3
"jonward11",3
"jonzynation",1
"jordanfabian",1
"jordanjwoods",1
"jordansekulow",4
"josephmarsh",1
"josephspiros",1
"joshdorner",9
"joshlederman",2
"joshrogin",25
"joshtpm",1
"joshua_perry",3
"joshuamccarroll",1
"joshuamiller79",1
"joshuamolina",1
"joy_resmovits",1
"joyomama",1
"joyvbehar",97
"jrak66",1
"jstrevino",1
"juanosick",1
"juansaaa",1
"judosaur",3
"judsonphillips",1
"jujy",2
"julezjuliet",1
"juliachurley",7
"juliacreinhart",1
"julieborowski",5
"julieey",1
"juliesthinktank",1
"junerenner",3
"jupiter_roman",2
"justimaginetvl",1
"justin_hart",3
"justin_patchett",2
"justincgio",1
"jvpacino",1
"jwbennion",1
"jwhaley2040",3
"jwisser",2
"k1er",1
"kabarry",1
"kady",7
"kaili09",1
"kailijoy",1
"kama420",1
"kamikaze601",2
"kara_sandoval",1
"karenhunter",2
"karibethbrown",1
"karlewis",2
"karoli",15
"kat1edh",1
"kate_macdonald",1
"katebomz",1
"katherine34481",1
"kathleenmadigan",4
"kathrynbruscobk",2
"kathryndelong",20
"katie4politics",5
"katiepavlich",1
"katiezimmerman",11
"katiezimmerman!!!",6
"katrinachan",1
"kbardella",1
"kclarkee",1
"kdrum",3
"keder",28
"keiferwalsh",1
"keithboykin",1
"keithurbahn",2
"kelbelle26",1
"keligoff",1
"kelly_carlin",13
"kellyalysia",3
"kellybaden",2
"kellyclamb",1
"kellymoses1",1
"kellyo",1
"kelsweet",1
"kengpdx",3
"kenineastman",1
"kenny_murray",1
"kerrypicket",3
"kesgardner",26
"kevinelevenn",2
"kevingchristy",3
"kevinkonquers",1
"kevinnlaura2010",1
"kevnham",5
"kfuckingp",1
"kgosztola",2
"khairykj",1
"khaula",1
"kiaramillerr",1
"kibblesmith",1
"kickstandclt",1
"kieale",1
"kimkardashian",1
"kimkardashian?",1
"kimquilts2",1
"kiptew",1
"kiradavis422",3
"kissthesunlight",1
"kjirs",1
"kkandasamy",2
"klausphotos",1
"klsouth",10
"kmphr",2
"koopr",1
"krimarie10",2
"krishanadavis",1
"krystalball1",17
"ksa4liberty",1
"kstreetkate",1
"kthalps",1
"kurtschlichter",1
"kvue",1
"kwallacebg",1
"kylejack",1
"kylemaichle52",9
"kylemiller12",1
"kyleraccio",3
"kylertjohnson",1
"kyourikai",3
"laboririshdem",1
"lady_patriot",1
"lamaleca",1
"lanheechen",1
"largeredtractor",3
"larrymadowo",2
"larrymwalkerjr",1
"larryuncaged",1
"latinorebels",4
"latseema",12
"launielitket",1
"laurabonnema",1
"laurashezbar",1
"laurencbs",2
"laurenlyster",1
"lawforthepeople",1
"lawrence",1
"laydihd",3
"leadershipinst",1
"leaveit2leevers",1
"leecamp",1
"leemeade77",1
"leftbehind_cny",1
"leftnode",1
"leginsurrection",3
"lehmannchris",1
"leighblue",2
"lelonopo",1
"lerationnel",1
"lesliesanchez",1
"leveragesuccess",1
"lewmetaxas",1
"lheal",5
"lianemorejon",1
"liberalgeek",1
"liberaljean",1
"liberalphenom",1
"libertybias",5
"libertyimages",1
"libertypoet",31
"libertyshovel",1
"libertyspot",1
"libertysqga2",2
"libertytango",8
"life",1
"lilianasegura",15
"lilibalfour",2
"lilyfhughes",1
"limbaugh",8
"limericksecon",2
"linc0lnpark",2
"lindaledbetter",1
"lisa_speaks",1
"lisargray",2
"lisbethcarter",2
"lissnup",4
"listentogatsby",1
"lizadonnelly",7
"lizardoid",1
"lizmair",4
"lizmartinezg",1
"lizzs_lockeroom",3
"lizzwinstead",4
"ljeffwilliams",1
"lo728",1
"lockedonsports",1
"locs_n_laughs",3
"logcabingop",5
"lolgop",69
"londonhomicide",1
"lonelycon",2
"lonniehunter",1
"lordsutch",1
"lordxmen2k",2
"lostdogs20",1
"louismgonzales",1
"lourdesmeluza",1
"louvice",4
"lovelyladypa",1
"lovemyskip",1
"lrbnyc",1
"lt",1
"luckycat76",1
"luckymw",1
"lucyinduhsky",2
"lucykafanov",2
"lucystag",12
"lukerussert",2
"luvrocknlegs",1
"luvrte66",1
"luxeters",1
"luxurytag",1
"lvertiz",1
"lynnychap",1
"m_ditty",1
"m_mcaulay",2
"m_omalley",1
"mackiesmama",5
"madjen34",3
"mafoya",1
"maggiemayok",2
"maggiepolitico",1
"maghera",1
"majoratnj",1
"makeusstrongcom",1
"mamadoxie",1
"mamakind420",1
"manafism",1
"mandelion_",1
"manmademoon",1
"mannyfester",4
"marcellachella",2
"marcelluswiley",1
"marcia_facundo",3
"marcslove",1
"marcthiessen",7
"marcthiessen!",3
"marcthiessen's",1
"marialiacalvo",2
"marianaatencio",1
"marianavz",2
"mariatcardona",2
"marinayfranklin",3
"marissaababin",1
"marissaaevans",14
"markcassello",4
"markdkelly2",2
"markdmiller2",1
"markey_v",2
"marklarsonradio",2
"marklerette",1
"markzbarabak",27
"marshallist",1
"marthalaurin",1
"martin_indyk",1
"mary_trujillo",3
"maryforrest",2
"maryhopewest",1
"maryrocco",5
"masaafur",1
"matstaver",2
"mattbatzel",2
"mattbruenig",1
"mattchew03",1
"mattdeluca",1
"mattduss",1
"mattdykhouse",2
"mattfraction",7
"matthewcouto",3
"matthewsproat",1
"matthewwells",1
"mattkohen",1
"mattmackowiak",4
"mattmak30",1
"mattob34",1
"mattshultz",1
"mattymcd",3
"max_fisher",1
"maxblumenthal",35
"maxboot",2
"maxeendeniro",1
"mayssia",2
"mbolez",1
"mboyle1",1
"mbrooksrjc",5
"mcauger",1
"mcblondeland",1
"mccormackjohn",1
"mchammer",2
"mdmrn",6
"mdsmitty2488",1
"me",1
"meekmill",1
"megan_baiocco",1
"megangrantcnn",1
"megansthorpe",1
"meglanker",21
"megsdubyak",1
"mel_vai",1
"melaniednc",7
"melissa5001",5
"melissatweets",84
"mellomcgee",1
"melmstephens",1
"menablog",3
"meredithfo",1
"mfhater",1
"mgoshoe",1
"mharrisperry",1
"miamiash",1
"micahuetricht",1
"michael_hartt",1
"michaelajones",3
"michaelranaii",1
"michaelskolnik",1
"michelebachmann",24
"michellebachman",1
"michellebachmann",1
"michellefields",9
"michelleinbklyn",1
"michellekraus",2
