"tweetscreenamecounts","Freq"
"brettzwo",1
"brevels",1
"brfreed",3
"brhandler",1
"brianarrhea",12
"brianbateman",1
"brianbeutler",3
"brianborough",2
"brianbwagner",2
"briancmitch",3
"briandpowell",1
"briangrosz",4
"briangthal",1
"brianhallam",1
"brianhenchey",3
"brianjcarroll8",9
"brianllew",1
"brianmightbite",2
"brianmusick",1
"briannelucas",1
"brianpempus",3
"briansmith957",2
"briansozzi",1
"brianstoltz",2
"briantashman",1
"brickm",1
"bridgetcusick",1
"brieshea",1
"briionnaa",1
"bringbackbernie",1
"bringitbeyach",1
"brironic",1
"britannywashere",7
"britlikeswit",1
"britt516",1
"brittalih",1
"brittanyluebke",1
"brittanynsalmon",1
"brittlathrece",1
"brittlesser",1
"brittney9982",1
"brittneyshaeee",1
"brizoni",10
"brizzle88",1
"brmarketwatch",1
"bro_pair",1
"brodiehubbard",3
"brodigan",1
"brodyinmd",1
"brokencool",1
"bromanw",1
"bromberglaw",1
"bromomontana27",1
"bromoore",7
"bromoservative",3
"bronxzoohbadger",1
"brooksbayne",2
"brooksbrotha",1
"brosales12",2
"brow_down",2
"browndkim",1
"brownsugar7878",1
"brucebonafede",1
"brucechalupa",1
"brucecolet",1
"bruisey",1
"bruno_gianelli",2
"brunomoonbreeze",1
"brvfan",2
"bryan_baecker",2
"bryan_sereny",2
"bryanbaise",2
"bryanjfischer",2
"bryansawyer715",1
"bryant_to_the",1
"bryanthomaslee",2
"brylew123",1
"bryner99",1
"brynnsias",1
"brysown1",1
"bsarte",1
"bsbuster1",2
"bscconservative",1
"bstewart1776",1
"bstrider",1
"btiz82",2
"btodd",1
"btunink",1
"btwestmo",2
"buartsjournal",3
"bubafett",3
"bubblewolf",1
"bubu1002",1
"buchanda",1
"buck_fachmann",5
"buckeyes45",1
"buddhacop",2
"buddyroemer",12
"buffetjaynixon",1
"buginjim",3
"bukeye",1
"bullgadash",1
"bullitt6454",1
"bullpups1",1
"bumablaise",2
"buncombeyrs",3
"bunnysnsunshine",2
"burghseyeview",3
"burkenicole",3
"burningdabush",3
"burritojustice",1
"bushido61",1
"butlerreo",1
"buttercupd",2
"buzz_71",1
"bvicarious",1
"bvitale",1
"bwake77",1
"bweb6",1
"bwils74",3
"bwoboe1",1
"bxgd",1
"bxknits",1
"byelin",2
"byjer24",3
"bynx",4
"byrnesms",2
"byronnme",3
"byrontfrancis",1
"bythenumbers",1
"byupolitics",10
"c_crumbley",1
"c_schwaber",2
"c_sharpe",1
"c4i",2
"ca4hermancain",2
"caaquino",1
"cabar",1
"cactidoll",5
"caddyjimmy",1
"cadetkb",1
"cafalk",2
"caffine_cigs",2
"caforhuckabee",1
"cainstaff",1
"cairokid",2
"cait_oconnell",1
"caitdouglas",1
"caitlinschoene",1
"cajun_manor",1
"cajunkate",2
"cajunscoopmonte",1
"calebyeeusa",3
"calestultz",1
"calhounstcoffee",1
"californiadalek",1
"calimcg",8
"calliggy",1
"calliopeco",2
"callme_brie",1
"callmec0ach",1
"callmeder",1
"callmejen27",9
"callmemohamed",3
"calvinpenn",1
"calwbbfan",1
"cameomcheung",3
"cameron_parker",2
"cameronemerrill",1
"cameronewhite",7
"caminnyc",2
"camo1013",1
"campbabs",2
"campbells928",1
"campi3ell_soup",1
"campruette",1
"camrocker",1
"camxoxo",1
"can121578",1
"canadians4mitt",3
"cancer_champion",2
"candicestorms",3
"candiedwalnuts",5
"candysez",5
"cantdance2it",1
"capadg",1
"caparris",1
"capecodgurl",1
"capedcrusader06",1
"capefearphoto",2
"capehog",1
"capitalista101",1
"capitolmuckrakr",2
"capocard33",1
"capreble",7
"capstoneperry",1
"captainjohn",2
"captainmcinnis",2
"captawesome06",5
"captvicsparrow",1
"cara_rob",2
"caradox",1
"carboaddict",1
"carderlabrake",1
"cardkillah",1
"cardosoginny",8
"care4usa",1
"caregiver55",2
"carla_jimenez7",1
"carlabond",2
"carlandrose",2
"carlinatoledop",2
"carloslozadawp",2
"carlosqc",1
"carlyjanez",1
"carmenlezeth",3
"carmenspindiego",1
"carmouflagger",3
"caroladelmarle",1
"carolinaqt",1
"carolinewren",1
"carolv27",1
"carribugbee",3
"carrienbcnews",3
"carsonator81",1
"carterharms",5
"carwashcoach",2
"cascaderam",1
"cascheller",2
"caseycontrarian",2
"caseygeorge",1
"caseyloper",3
"cashdollaz",2
"cassandraaviles",2
"cassandratroy",1
"castawaywilson",2
"catastrophenet",3
"catawbapolitics",3
"catch10110",3
"catekustanczy",5
"catherinephilp",1
"catherinette",1
"catholicdems",5
"catnyugen",2
"catofp",5
"catsandtea",1
"cattyidiot",1
"catvargas",1
"causeofliberty",2
"cavyslave5",1
"cberrl",2
"cbsjancrawford",1
"ccbbstyle",1
"cchanldy",1
"ccharisma420",1
"cdewayneharris",1
"cdnnow",4
"cdpigott",1
"cdr999",1
"cdrosa",1
"ceasaraugustusp",1
"ceceoh4",3
"cecesurfcityusa",2
"cecysnyder",1
"ceelanae",1
"celebutaunts",2
"celestemc",2
"cellarsinger",1
"celticliberal",5
"celttom",6
"centurion723",1
"cerivero",1
"cescobar0422",1
"cesmed",1
"cewaspusa",1
"cfallon11",1
"cfheather",4
"cfhuttonspeaks",1
"cfloyd10",1
"cgd0027",31
"cgryp",1
"cgstong",1
"ch13fmarin",1
"ch3rylc",2
"chad_micheal",7
"chadbowie",5
"chadcolby",1
"chadhastyradio",3
"chadkitz",2
"chadskysimon",1
"chahollywood",2
"chainster13",1
"chairman_wow_",2
"chairmanfitten",5
"chaithere",1
"chaklol",1
"chalisedarlin",2
"chandler1012",1
"chandlerhudson",1
"changeforperry",1
"changeversation",1
"chani_11",2
"chanicebby",3
"chantelamor",1
"chaosnat",3
"chaostar13",4
"chaplinesque",2
"chaplinlives",1
"chapman319",9
"chapsdaughter",1
"charlesblitz",1
"charlesgarrison",8
"charleslavery",7
"charlessimmins",2
"charleston4rent",2
"charleswheeler3",1
"charliewcook",2
"charlyluciano2x",1
"charmfamily",2
"chaseaunspach",2
"chaselindley",1
"chasenpesos",1
"chassuz",1
"chazsurette",2
"chbrowning",1
"che_riles",1
"cheaperthan",1
"chearn73",7
"cheler0",1
"chelsealeebee",4
"chelseymullins",1
"cheneselewis",1
"cheruto_kosgey",1
"cherylblomstrom",1
"cherylburkes",2
"cherylduckworth",1
"cherylrofer",1
