"source","target"
"rlbaldwinartist","CSteven"
"FoxieNews","ReconChesty"
"JessEfai","rolandsmartin"
"MnaAhmd","sseham"
"A22523","acarvin"
"SadieMae23","jamiekilstein"
"annumoyasin","umairh"
"Praying4Cain","THEHermanCain"
"SpelmanPaul","LAmaleCA"
"Gabesmom","NoahJackson93"
"urihoresh","JoeMyGod"
"srhodes214","PaulBegala"
"hopeworldpeace","BorowitzReport"
"alynnlao","stillblazingtho"
"markwhitt1","Adenovir"
"jimcollins","mollycrabapple"
"educatedsoldier","RevPac"
"dtcruiser","PaulBegala"
"TOConnor4","blogdiva"
