"source","target"
"NuBlackCity","Cartel_Carter"
"the_rajun_bear","DanSlott"
"AllchangeAli","boogieprice"
"bocces","0swin_0swald"
"rbkage","piersmorgan"
"Hannanar","lottietweet"
"Barricade64","DanSlott"
"stop_help","LovingLosing"
"kinderband","brad_lacey"
"WriteNThrash","CKlosterman"
"TheLadySatan","ginacanadiangrl"
"allystupart","bethrutherfordx"
"GoonerFool","gunnerblog"
"bethrutherfordx","allystupart"
"kinderband","brad_lacey"
"LeGrove","TheMightyGambon"
"_hannahbartonn","__bartonn"
"BigBun","charlescou"
"siononboyle","_MMurtagh"
"jay_halliwell","Fact"
"Xenobotanist","somedrummerdude"
"ThaZimGooner","LeGrove"
"ProfLAppleby","AlanRosenbach"
"MoniseLSeward","coachkjmd2be"
"hectordbremner","chrismbryan"
"ptyater","Anewlannn"
"Bryn_30","jeannewman"
"johndwm","Beyond_Survivor"
"MinuteMan1776","wildhipichld"
"AgnesphAgnes","markos"
"jonner1979","niallboylan4fm"
"coolertech1977","BooyahSuckaFoo"
"gotophilk","CKlosterman"
"gothicfishie","FuckingYeah"
"CraigHarper19","LizMarshall89"
"cskies","AACAP"
"ElizSimins","codywinn"
"geoframsay","JoanLandinoSays"
"CascadiaAnon","Canuck_Pride"
"IronicHeathen","LadyGloriousjax"
"alisonrose711","jennygadget"
"thinisl0vely","addictedtooTW"
"baronkatz","safer1212"
"4MNT","StrefzTrefz"
"Laurielpinard","grahamctv"
"ElVatoConMole","jas508"
"momafig","CityAvery"
"jsdonnell","shMega_deth"
"Ricksta6","SarahCDeming"
"landxscapes","Riiimmm"
"XxSnakeProxX","DanSlott"
"bicmay","HealthyCal"
"yangjustinc","gord_katic"
"Mydreambod","AlisonShurter"
"libtranslator","/alfranken"
"anaaaaaaa__","SarahhhAmeliaa"
"bewell_staywell","HuffPostPol"
"RumRnnr","lancehernandez7"
"JCA_MN","namiminnesota"
"bec__mac","Monsieur_Porc"
"FredShank","alfranken"
"TommyBeeswax","SammyMacAttack"
"SammyMacAttack","TommyBeeswax"
