"source","target"
"AimeeMonahan","AlanFisher"
"Cancer_Champion","JoyVBehar"
"silveracer44","Steele_Michael"
"drmchsr0","mike_br"
"Conservathink","kyleraccio"
"jwhaley2040","TPPatriots"
"tommy4usa","PatriotCL"
"TMediumTMessage","MittRomney"
"MoAnsar","PennyRed"
"rachander1225","RepRonPaul"
"IvanGH","lourdesmeluza"
"RickStrandlof","MittRomney"
"JoseSnillums","RonPaul"
"truthissoap","MittRomney"
"RepublicanRocks","MittRomney"
"dankennedy_nu","dbernstein"
"waynotway","RonPaul"
"mjAIRent","MittRomney"
"brow_down","RonPaul"
"JustinnitsuL",""
"PrezFrankieP","KFUCKINGP"
"rmnf28","BorowitzReport"
"fishinsam","cspanwj"
"krazyj71","THEHermanCain"
"Realtimer2010","#CNNdebate"
"directorblue","Lizardoid"
"AbolishTheLies","DickMorrisTweet"
"sodistracted","JayandSteve"
"marklarsonradio","HeyTammyBruce"
"winnower11","PennyRed"
"McSaddle","MittRomney"
"CRLacelle","Rick_Corbett"
"discoandhaze","TheFix"
"luxurytag","rolandsmartin"
"yulucia","JonHuntsman"
"TheBraveLass","TheAnchoress"
"linbergbaby","THEHermanCain-"
"txvoodoo","blogdiva"
"America4ward","CNN"
"FactJunkie01","atlasshrugs"
"ZebertLBrown","CNN-Romney"
"G_Threezzy","hanitabonitaa"
"theMVJ","MittRomney"
"RedRacingHorses","RonNehring"
"Politicalpulse1","TeamRickPerry"
"annie_woodard","jeremyscahill"
"HeatherLaClaire","TermLimtCongres"
"EleanorWhitel","FoxieNews"
"4Roxanne","MittRomney"
"CapeFearPhoto","chucktodd"
"DwinTizzle","kady"
"tommy4usa","jonward11"
"diggaduh","MittRomney"
"RonPaul4Dummies","Steele_Michael"
"","AllenFox"
"4Roxanne","MittRomney"
"he88ion","DickMorrisTweet"
"benwerd","CNN"
"olebirdntn","RameshPonnuru"
"MichaelPizzoli","KrystalBall1"
"southerntalker","jonathanalter"
"AndrewHClark","MittRomney"
"ChadBowie","MittRomney"
"vcw42","YourAnonNews"
"ajgresham","efuzz"
"XandraChristine","CNN"
"barb_hill","PaulBegala"
"BuArtsJournal","wolfblitzercnn"
"GOPBlackChick","GovernorPerry"
"catekustanczy","lizadonnelly"
"FreeSpeecch1st","mittromney"
"NiraliJ","HaritNandani"
"donna816","cspanwj"
"JudyMayka","kstreetkate"
"MulliganStew63","PaulBegala"
"vote_hagert","PaulBegala"
"J_Effinger","RonPaul"
"profg","PurcellforGA"
"Chad_Micheal","chucktodd"
"CandiedWalnuts","LauraShezBar"
"debidevens","RickSantorum"
"cashdollaz","GovGaryJohnson"
"Frawgz","WeThePeople2K10"
"EpicElliott","RepRonPaul"
"RepublicanRocks","RickSantorum"
"The_Brent_Wadas","lisargray"
"leebeegee3","RickSantorum"
"madwilliamflint","Atlasshrugs"
"The_Woch_Man","RClarkeCooper"
"NCforHuntsman","JonHuntsman"
"understandblue","southboundcat"
"barkway","themoornextdoor"
"America4ward","CNN"
"jwhaley2040","RickSantorum"
"debitking","GovernorPerry"
"ryan_printy","RickSantorum"
"elliotbgardner","adamcurry"
"joshfender","AC360"
"Nick_Searles","blogdiva"
"JustinnitsuL",""
"glorybeful","tallglassofH20"
"jonmarrero","SalimZymet"
"jbrown3079","kelly_carlin"
"ryan_printy","ronpaul"
"tdiggy","JoyVBehar"
"FNBSMEDIA_com","JamilSmith"
"jwhaley2040","RonPaul"
"Kudzu81","intelwire"
"littleman4343","itsMach"
"AimeeMonahan","GarrettNBCNews"
"IAmMikeBrowne","HeyYoBecky"
"gregorybayne","milesmaker"
"TexanIndiana","GovernorPerry"
"GoforthandC","doncooleo"
"Politisite","Gottahrdt"
"NEmafia","nealcarruth"
"outspokeninlife","outspokeninlife"
"janleide","JamilSmith"
"davidbandler","blogdiva"
"MadJen34","RickSantorum"
"mrrozelle","HavokSMR"
"TylerMartell17","JonHuntsman"
"Lkbleu","marcelluswiley"
"Chad_Micheal","thehill"
"nataliekrings","DavidMDrucker"
"gavinvz","justin_patchett"
"PolicyStats","RonPaul_2012"
"QDoubIe","cnn"
"ryan_printy","GovernorPerry"
"DennyKnip","RonPaul"
"TJM9511","RepRonPaul"
"txvoodoo","fvdlfvdl"
"jesusfreakinct","RickSantorum"
"jameel20210","Dima_Khatib"
"Dunnezo","TeamBachmann"
"debidevens","RepRonPaul"
"evanwisemusic","aishatyler"
"bunnysnsunshine","aishatyler"
"CRLacelle","Rick_Corbett"
"PoliticsIn01245","RickSantorum"
"GenneyA","dw1776"
"JulianaPhilippa","benwerd"
"mattshultz","jamiedupree"
"DavidMDrucker","RonPaul"
"WhenOnKStreet","nickconfessore"
"lennymcallister","LOLGOP"
"Boubah360","politicsofamy"
"ProgressiveElec","fbihop"
"Attitude","alexrharrington"
"FNBSMEDIA_com","ongoliard"
"CarriBugbee","DaneeRiggs"
"MarkAmundsen","andylevy"
"FlanniganWill","chucktodd"
"FloozyFagastino","kellyclamb"
"muzlump","RonPaul"
"Chad_Micheal","LukeRussert"
"SalimZymet","jonmarrero"
"robdiesel123","rickperry"
"FreeSpeecch1st","Pres_Bartlet"
"bleefureigh","Romney"
"brianjcarroll8","RickSantorum"
"RepublicanRocks","GovernorPerry"
"fishinsam","cspanwj"
"marklarsonradio","davidfrum"
"kurthjl","ronpaul"
"goodthingz08","johnlegend"
"debidevens","TexGov"
"profg","MelissaTweets"
"JamesJetsOften","Disalmanac"
"Niemsters","RepRonPaul"
"nEkoSoto","SomeLoudCheese"
"tommy4usa","qctimes"
"leebeegee3","GovernorPerry"
"Gottahrdt","Politisite"
"TheRealFakeTim","sfpelosi"
"jwhaley2040","GovernorPerry"
"ikesharpless","ishaantharoor"
"PolicyStats","GovernorPerry"
"IcarusPundit","aishatyler"
"FactJunkie01","rowenawilding"
"Chad_Micheal","HuffPostPol"
"dangainor","PeterHambyCNN"
"marklarsonradio","hughhewitt"
"MsBostwick","JVPacino"
"MOforPerry","GovernorPerry"
"chhezecake","SIDDAMAYNE"
"GordyGouard","RonPaul"
"donna816","cspanwj"
"efrain_nieves","rigo_"
"scott_nicholson","goodnewsgirl"
"JeffChanceUSA","newtgingrich"
"WantNews","ClassyLaurenB"
"eqracer","governorperry"
"Acostabeta","Adenovir"
"EIPolitics","reyjrar"
"BookofJim","GovernorPerry"
"annie_woodard","samsteinhp"
"HalloweenBlogs","thecajunboy"
"ryan_printy","MittRomney"
"MCoatsworthHay","joan_evans_nyc"
"Politisite","Gottahrdt"
"IanPanchevre","BuddyRoemer"
"CoachRogers92","PeterHambyCNN"
"RepublicanRocks","MittRomney"
"Jon_HuntsmanUSA","JonHuntsman"
"TMediumTMessage","governorperry"
"JulianaPhilippa","meredithfo"
"coneymedia","GovernorPerry"
"ARCrossman","GottaLaff"
"DReubenJr","mittromney"
"RepublicanRocks","TheHermanCain"
"dankennedy_nu","ashmont"
"nmgop","jamiedupree"
"mrbriandelburn","GovernorPerry"
"sfpelosi","TheRealFakeTim"
"RexDevereux","leaveit2leevers"
"debidevens","THEHermanCain"
"Justin_Hornback","BorowitzReport"
"Horus_Xero","aishatyler"
"ryan_printy","THEHermanCain"
"America4ward","CNN"
"drjwalk","ClaireBerlinski"
"pprmintpatty28","LOLGOP"
"MohShahab","mzmz037"
"IAmSoSmart","SteveIsASailor"
"sing2mejus","Cupcake1723"
"S3MP1R0UL","ndb29401"
"Chad_Micheal","thinkprogress"
"MsDiva67","THEHermanCain"
"xs64","TheFix"
"chaostar13","RonPaul"
"rookietweeter","TeriChristoph"
"ryan_printy","newtgingrich"
"DavidMDrucker","TheHermanCain"
"DRINKN_H8ERADE","tomreadmond"
"theshex","Candi151"
"Smalltalkwitht","dmmckinney"
"EIPolitics","reyjrar"
"ATVpolitics","GovernorPerry"
"FritzHollings","jmartpolitico"
"tato1069","CNNLive"
"GOPBlackChick","blackrepublican"
"Tori_Lennox","JasonBWhitman"
"Ptwin","kesgardner"
"Melanie_Bernal","RickSantorum"
"Chad_Micheal","jeremyscahill"
"jwhaley2040","HermanCain"
"Metternyq","THEHermanCain"
"JacksonAndy1977","AriFleischer"
"jwhaley2040","NewtGingrich"
"America4ward","CNN"
"DuploWarrior","GovernorPerry"
"jacqui","zedshaw"
"securelexicon","AntDeRosa"
"skunkwkrz","DickMorrisTweet"
"edwardocolon","CharlesMBlow"
"carlandrose","THEHermanCain"
